date,service,region,instance_type,storage_type,usage_units,data_egress_gb,cpu_utilization,memory_utilization,active_users,cost_usd,anomaly_flag
2024-02-11,RDS,us-east-1,t2.micro,,1.37,0.89,24.81,57.93,265,21.31,0
2024-02-11,Lambda,eu-west-1,,,1.21,1.61,,,776,5.75,0
2024-02-11,DataTransfer,us-east-1,,,1.18,8.49,,,586,13.9,0
2024-02-12,EC2,eu-west-1,m5.large,,1.39,1.89,13.15,69.39,760,57.79,0
2024-02-12,S3,us-west-2,,Standard,1.03,0.63,,,384,14.36,0
2024-02-12,RDS,us-east-1,m5.large,,0.91,1.85,87.68,86.1,643,19.48,0
2024-02-12,Lambda,eu-west-1,,,1.3,1.69,,,451,7.94,0
2024-02-12,DataTransfer,eu-west-1,,,1.28,0.37,,,208,14.13,0
2024-02-13,EC2,us-east-1,t3.medium,,1.32,1.06,45.28,48.31,88,54.56,0
2024-02-13,S3,us-east-1,,Standard,1.16,1.48,,,210,16.61,0
2024-02-13,RDS,us-east-1,t3.medium,,1.31,0.84,46.96,89.32,300,27.31,0
2024-02-13,Lambda,eu-west-1,,,0.83,0.77,,,657,4.91,0
2024-02-13,DataTransfer,eu-west-1,,,0.75,0.09,,,78,8.23,0
2024-02-14,EC2,us-east-1,t3.medium,,1.04,1.26,79.89,88.89,315,43.14,0
2024-02-14,S3,eu-west-1,,Glacier,1.07,1.46,,,738,15.31,0
2024-02-14,RDS,eu-west-1,t2.micro,,0.95,0.57,33.7,36.35,714,19.74,0
2024-02-14,Lambda,us-east-1,,,1.34,0.09,,,448,7.36,0
2024-02-14,DataTransfer,us-east-1,,,0.97,1.24,,,236,11.28,0
2024-02-15,EC2,us-east-1,t2.micro,,0.76,0.84,80.33,86.13,60,31.78,0
2024-02-15,S3,us-west-2,,Standard,1.22,0.13,,,633,16.79,0
2024-02-15,RDS,us-east-1,m5.large,,0.86,1.66,19.63,23.29,874,18.54,0
2024-02-15,Lambda,us-west-2,,,0.73,1.91,,,937,4.94,0
2024-02-15,DataTransfer,us-west-2,,,1.26,6.3,,,776,16.97,0
2024-02-16,EC2,eu-west-1,t3.medium,,1.07,0.52,51.22,54.38,194,44.25,0
2024-02-16,S3,eu-west-1,,IA,1.14,1.5,,,138,16.35,0
2024-02-16,RDS,us-east-1,t3.medium,,1.3,0.91,41.29,39.11,590,27.29,0
2024-02-16,Lambda,us-east-1,,,0.73,1.7,,,219,4.87,0
2024-02-16,DataTransfer,us-east-1,,,0.93,9.32,,,444,14.88,0
2024-02-17,EC2,eu-west-1,t3.medium,,0.88,1.45,49.67,25.67,365,28.03,0
2024-02-17,S3,us-east-1,,Standard,1.3,0.99,,,273,13.87,0
2024-02-17,RDS,us-west-2,t2.micro,,1.33,1.14,62.97,58.06,798,21.24,0
2024-02-17,Lambda,us-east-1,,,1.32,1.59,,,217,6.23,0
2024-02-17,DataTransfer,us-east-1,,,0.81,1.6,,,830,7.49,0
2024-02-18,EC2,us-east-1,t2.micro,,1.18,1.24,70.22,31.1,796,37.12,0
2024-02-18,S3,us-east-1,,Glacier,1.32,0.01,,,721,13.61,0
2024-02-18,RDS,eu-west-1,t2.micro,,1.22,0.32,75.44,78.25,573,19.1,0
2024-02-18,Lambda,eu-west-1,,,0.84,0.17,,,716,3.54,0
2024-02-18,DataTransfer,us-east-1,,,1.09,1.16,,,915,9.62,0
2024-02-19,EC2,us-east-1,m5.large,,0.79,0.57,11.47,50.26,880,33.03,0
2024-02-19,S3,eu-west-1,,IA,1.23,1.58,,,965,17.75,0
2024-02-19,RDS,us-west-2,m5.large,,0.82,1.54,66.69,53.15,71,17.7,0
2024-02-19,Lambda,us-west-2,,,0.75,1.7,,,319,5.01,0
2024-02-19,DataTransfer,eu-west-1,,,1.38,7.5,,,276,18.99,0
2024-02-20,EC2,eu-west-1,t2.micro,,0.72,0.65,49.09,73.93,619,54.08,1
2024-02-20,S3,us-west-2,,IA,1.03,1.89,,,148,15.18,0
2024-02-20,RDS,us-east-1,t2.micro,,0.81,1.59,65.49,35.45,179,17.71,0
2024-02-20,Lambda,eu-west-1,,,1.18,1.31,,,588,7.17,0
2024-02-20,DataTransfer,eu-west-1,,,1.37,1.51,,,653,15.88,0
2024-02-21,EC2,eu-west-1,t2.micro,,1.15,0.8,31.94,88.88,306,48.13,0
2024-02-21,S3,us-west-2,,Glacier,1.22,0.4,,,842,17.15,0
2024-02-21,RDS,us-west-2,m5.large,,1.03,1.09,22.74,34.26,654,21.98,0
2024-02-21,Lambda,us-east-1,,,0.81,0.91,,,611,4.93,0
2024-02-21,DataTransfer,eu-west-1,,,1.14,1.31,,,742,13.29,0
2024-02-22,EC2,us-west-2,m5.large,,0.83,0.92,10.1,61.88,943,35.06,0
2024-02-22,S3,us-east-1,,IA,0.86,0.32,,,775,12.08,0
2024-02-22,RDS,us-west-2,t2.micro,,0.89,1.6,34.83,51.87,121,19.32,0
2024-02-22,Lambda,us-east-1,,,0.75,0.78,,,415,4.57,0
2024-02-22,DataTransfer,eu-west-1,,,1.12,2.92,,,350,13.91,0
2024-02-23,EC2,us-west-2,t2.micro,,0.73,0.96,18.39,36.94,938,30.88,0
2024-02-23,S3,eu-west-1,,IA,1.13,1.4,,,763,16.47,0
2024-02-23,RDS,us-west-2,t2.micro,,1.06,0.18,38.05,22.32,165,22.28,0
2024-02-23,Lambda,us-west-2,,,0.98,0.27,,,920,5.58,0
2024-02-23,DataTransfer,us-west-2,,,1.18,8.01,,,155,17.18,0
2024-02-24,EC2,us-east-1,m5.large,,0.79,1.79,57.58,63.16,272,25.59,0
2024-02-24,S3,us-west-2,,IA,1.14,1.57,,,160,12.68,0
2024-02-24,RDS,eu-west-1,m5.large,,0.76,1.79,53.81,77.21,459,12.76,0
2024-02-24,Lambda,eu-west-1,,,1.15,1.05,,,923,5.34,0
2024-02-24,DataTransfer,us-west-2,,,0.76,0.6,,,136,6.64,0
2024-02-25,EC2,us-east-1,t2.micro,,1.13,0.66,47.61,72.1,782,35.88,0
2024-02-25,S3,eu-west-1,,Glacier,0.81,0.04,,,772,8.54,0
2024-02-25,RDS,us-west-2,t2.micro,,1.4,1.95,62.03,33.97,84,22.94,0
2024-02-25,Lambda,us-east-1,,,0.75,0.06,,,402,3.18,0
2024-02-25,DataTransfer,eu-west-1,,,1.02,8.68,,,208,12.92,0
2024-02-26,EC2,us-east-1,t3.medium,,1.39,0.08,79.36,60.51,469,105.22,1
2024-02-26,S3,us-west-2,,IA,1.12,1.59,,,344,16.44,0
2024-02-26,RDS,us-west-2,m5.large,,1.11,1.82,26.85,63.61,601,24.31,0
2024-02-26,Lambda,us-east-1,,,1.21,0.26,,,569,6.92,0
2024-02-26,DataTransfer,us-west-2,,,0.83,2.38,,,383,10.43,0
2024-02-27,EC2,us-east-1,t2.micro,,0.75,0.87,17.79,48.35,63,31.91,0
2024-02-27,S3,us-east-1,,IA,0.77,1.3,,,906,11.4,0
2024-02-27,RDS,us-east-1,t3.medium,,1.3,0.02,57.07,61.91,725,27.36,0
2024-02-27,Lambda,us-east-1,,,0.87,0.47,,,59,5.09,0
2024-02-27,DataTransfer,eu-west-1,,,1.01,3.31,,,654,12.97,0
2024-02-28,EC2,us-west-2,t2.micro,,1.0,0.5,59.37,69.47,625,42.44,0
2024-02-28,S3,us-east-1,,Glacier,1.22,1.33,,,214,17.73,0
2024-02-28,RDS,us-east-1,t2.micro,,1.19,0.89,79.14,59.07,300,25.59,0
2024-02-28,Lambda,us-east-1,,,0.72,1.97,,,560,5.05,0
2024-02-28,DataTransfer,us-east-1,,,1.36,0.39,,,168,15.42,0
2024-02-29,EC2,us-east-1,t2.micro,,0.76,0.21,56.77,68.17,325,32.25,0
2024-02-29,S3,eu-west-1,,Glacier,0.71,0.65,,,846,10.34,0
2024-02-29,RDS,us-east-1,m5.large,,1.02,1.03,49.11,66.68,901,21.99,0
2024-02-29,Lambda,eu-west-1,,,0.72,0.62,,,385,4.36,0
2024-02-29,DataTransfer,us-west-2,,,0.84,6.73,,,390,12.83,0
2024-03-01,EC2,us-east-1,t3.medium,,1.31,0.35,65.41,78.67,267,55.42,0
2024-03-01,S3,us-west-2,,IA,0.87,1.66,,,352,13.09,0
2024-03-01,RDS,us-east-1,m5.large,,1.35,1.38,64.12,35.1,703,29.24,0
2024-03-01,Lambda,us-east-1,,,1.17,1.15,,,269,7.15,0
2024-03-01,DataTransfer,us-west-2,,,1.4,0.48,,,634,16.01,0
2024-03-02,EC2,us-east-1,t2.micro,,1.25,1.13,69.08,81.5,430,40.16,0
2024-03-02,S3,us-west-2,,Glacier,1.27,1.52,,,328,14.15,0
2024-03-02,RDS,eu-west-1,t2.micro,,1.27,0.24,53.56,20.4,704,20.31,0
2024-03-02,Lambda,us-east-1,,,0.96,0.79,,,966,4.44,0
2024-03-02,DataTransfer,eu-west-1,,,0.97,4.49,,,354,10.47,0
2024-03-03,EC2,eu-west-1,t3.medium,,0.75,1.21,63.46,63.36,991,24.47,0
2024-03-03,S3,us-east-1,,IA,1.37,1.69,,,973,15.32,0
2024-03-03,RDS,us-east-1,t2.micro,,0.94,0.76,41.91,60.61,349,15.3,0
2024-03-03,Lambda,eu-west-1,,,0.98,1.1,,,863,4.68,0
2024-03-03,DataTransfer,us-west-2,,,1.2,5.21,,,70,12.78,0
2024-03-04,EC2,eu-west-1,m5.large,,0.75,1.91,62.38,46.61,373,32.77,0
2024-03-04,S3,us-west-2,,Glacier,0.77,0.97,,,422,11.39,0
2024-03-04,RDS,us-west-2,m5.large,,1.35,1.06,56.47,26.27,719,29.18,0
2024-03-04,Lambda,us-west-2,,,0.98,1.95,,,139,6.52,0
2024-03-04,DataTransfer,us-east-1,,,1.07,1.23,,,157,12.67,0
2024-03-05,EC2,us-east-1,m5.large,,1.2,0.21,55.38,37.96,85,50.92,0
2024-03-05,S3,us-west-2,,Glacier,1.27,0.75,,,734,18.37,0
2024-03-05,RDS,us-west-2,m5.large,,1.37,1.2,75.54,81.89,954,29.61,0
2024-03-05,Lambda,us-west-2,,,0.85,1.22,,,427,5.42,0
